variable,variable_type,states_with_valid_percent_change,mean_absolute_change,median_absolute_change,mean_percent_change,median_percent_change,states_increased,states_decreased,states_no_change,top_5_largest_decreases,top_5_largest_increases
%_at_least_bach_degree,percentage,51,0.01361991682352941,0.014165329000000004,0.04010314490601236,0.04194159829236579,48,3,0,"[{'state': 'Alaska', 'pre_2022': 0.327906311, 'post_2022_avg': 0.32494891049999997, 'absolute_change': -0.0029574005000000403, 'percent_change': -0.009019041112630615}, {'state': 'Missouri', 'pre_2022': 0.317189281, 'post_2022_avg': 0.31509374749999997, 'absolute_change': -0.002095533500000024, 'percent_change': -0.006606570983084464}, {'state': 'Vermont', 'pre_2022': 0.444388974, 'post_2022_avg': 0.4438410505, 'absolute_change': -0.0005479234999999916, 'percent_change': -0.0012329817616041742}, {'state': 'West Virginia', 'pre_2022': 0.241171641, 'post_2022_avg': 0.2418369655, 'absolute_change': 0.0006653245000000085, 'percent_change': 0.002758717804636112}, {'state': 'Connecticut', 'pre_2022': 0.421275691, 'post_2022_avg': 0.4273479915, 'absolute_change': 0.006072300500000016, 'percent_change': 0.014414077597465779}]","[{'state': 'Wyoming', 'pre_2022': 0.292446149, 'post_2022_avg': 0.313546415, 'absolute_change': 0.021100266000000034, 'percent_change': 0.07215094495910095}, {'state': 'Alabama', 'pre_2022': 0.274328873, 'post_2022_avg': 0.293716255, 'absolute_change': 0.01938738200000001, 'percent_change': 0.0706720433324567}, {'state': 'Rhode Island', 'pre_2022': 0.365015049, 'post_2022_avg': 0.3902486365, 'absolute_change': 0.025233587500000043, 'percent_change': 0.06913026618801145}, {'state': 'Florida', 'pre_2022': 0.331608016, 'post_2022_avg': 0.353762931, 'absolute_change': 0.022154914999999997, 'percent_change': 0.06681055321654226}, {'state': 'South Dakota', 'pre_2022': 0.31665529, 'post_2022_avg': 0.3374082335, 'absolute_change': 0.02075294350000001, 'percent_change': 0.0655379655902796}]"
%_at_least_high_school,percentage,51,0.004660834647058811,0.00419366149999989,0.00520569980602508,0.0045597771741083025,44,7,0,"[{'state': 'New Jersey', 'pre_2022': 0.909809316, 'post_2022_avg': 0.90515387, 'absolute_change': -0.0046554460000000075, 'percent_change': -0.005116946944957428}, {'state': 'District of Columbia', 'pre_2022': 0.927855314, 'post_2022_avg': 0.9235026319999999, 'absolute_change': -0.004352682000000052, 'percent_change': -0.004691121486641668}, {'state': 'Missouri', 'pre_2022': 0.915917726, 'post_2022_avg': 0.9124174775, 'absolute_change': -0.0035002484999999695, 'percent_change': -0.0038215752361145695}, {'state': 'Iowa', 'pre_2022': 0.933248209, 'post_2022_avg': 0.931353951, 'absolute_change': -0.001894258000000093, 'percent_change': -0.002029747265231658}, {'state': 'Indiana', 'pre_2022': 0.906410409, 'post_2022_avg': 0.9051106115, 'absolute_change': -0.0012997974999999773, 'percent_change': -0.0014340054870221346}]","[{'state': 'Mississippi', 'pre_2022': 0.864854456, 'post_2022_avg': 0.8787939835, 'absolute_change': 0.013939527500000048, 'percent_change': 0.016117772653298383}, {'state': 'Alabama', 'pre_2022': 0.879327181, 'post_2022_avg': 0.893462457, 'absolute_change': 0.014135276000000085, 'percent_change': 0.016075104131234728}, {'state': 'Louisiana', 'pre_2022': 0.866771826, 'post_2022_avg': 0.8802077660000001, 'absolute_change': 0.013435940000000035, 'percent_change': 0.01550112682135106}, {'state': 'Kentucky', 'pre_2022': 0.87987785, 'post_2022_avg': 0.892611328, 'absolute_change': 0.01273347800000002, 'percent_change': 0.014471870157886145}, {'state': 'Oklahoma', 'pre_2022': 0.887111163, 'post_2022_avg': 0.8995077659999999, 'absolute_change': 0.012396602999999895, 'percent_change': 0.013974125810882051}]"
%_fem_age_18-29,percentage,51,-0.0017956321568627425,-0.0017035360000000055,-0.009449575496600643,-0.008134253906344752,13,38,0,"[{'state': 'Vermont', 'pre_2022': 0.19127173, 'post_2022_avg': 0.1777939135, 'absolute_change': -0.01347781649999999, 'percent_change': -0.07046423692617822}, {'state': 'New Hampshire', 'pre_2022': 0.184228278, 'post_2022_avg': 0.17380266049999998, 'absolute_change': -0.010425617500000012, 'percent_change': -0.056590755844767825}, {'state': 'Hawaii', 'pre_2022': 0.187043807, 'post_2022_avg': 0.1787071535, 'absolute_change': -0.008336653500000013, 'percent_change': -0.04457059356153937}, {'state': 'Nevada', 'pre_2022': 0.195070587, 'post_2022_avg': 0.18994943749999998, 'absolute_change': -0.005121149500000005, 'percent_change': -0.026252802017763987}, {'state': 'Rhode Island', 'pre_2022': 0.201156453, 'post_2022_avg': 0.1959122935, 'absolute_change': -0.005244159500000012, 'percent_change': -0.026070053541856854}]","[{'state': 'District of Columbia', 'pre_2022': 0.24805887, 'post_2022_avg': 0.2565210885, 'absolute_change': 0.008462218500000007, 'percent_change': 0.034113750901147}, {'state': 'Idaho', 'pre_2022': 0.205696872, 'post_2022_avg': 0.212532639, 'absolute_change': 0.006835766999999993, 'percent_change': 0.033232236025446185}, {'state': 'Alabama', 'pre_2022': 0.189434215, 'post_2022_avg': 0.19373901300000002, 'absolute_change': 0.004304798000000026, 'percent_change': 0.022724500956704294}, {'state': 'Kansas', 'pre_2022': 0.213194945, 'post_2022_avg': 0.216015837, 'absolute_change': 0.0028208919999999915, 'percent_change': 0.013231514471414843}, {'state': 'Missouri', 'pre_2022': 0.198041377, 'post_2022_avg': 0.2002192815, 'absolute_change': 0.002177904500000022, 'percent_change': 0.010997219535592413}]"
%_fem_age_30-39,percentage,51,-0.0004258150098039261,9.113000000005034e-06,-0.001901941985166822,5.674528839601963e-05,27,24,0,"[{'state': 'Mississippi', 'pre_2022': 0.167288316, 'post_2022_avg': 0.15758740799999998, 'absolute_change': -0.009700908000000008, 'percent_change': -0.057989154484644395}, {'state': 'Hawaii', 'pre_2022': 0.176746981, 'post_2022_avg': 0.16837412149999997, 'absolute_change': -0.008372859500000024, 'percent_change': -0.04737200857761765}, {'state': 'Kansas', 'pre_2022': 0.176373246, 'post_2022_avg': 0.1689343355, 'absolute_change': -0.007438910500000007, 'percent_change': -0.04217709130329215}, {'state': 'Wyoming', 'pre_2022': 0.181848923, 'post_2022_avg': 0.17465847899999998, 'absolute_change': -0.007190444000000018, 'percent_change': -0.03954075658726897}, {'state': 'South Dakota', 'pre_2022': 0.175165648, 'post_2022_avg': 0.1688284665, 'absolute_change': -0.006337181500000011, 'percent_change': -0.036178220857550854}]","[{'state': 'New Hampshire', 'pre_2022': 0.155218494, 'post_2022_avg': 0.16313742650000002, 'absolute_change': 0.007918932500000003, 'percent_change': 0.05101797019110366}, {'state': 'Michigan', 'pre_2022': 0.160168937, 'post_2022_avg': 0.16497684699999998, 'absolute_change': 0.004807909999999971, 'percent_change': 0.030017743078359634}, {'state': 'Washington', 'pre_2022': 0.192468278, 'post_2022_avg': 0.1979246085, 'absolute_change': 0.005456330499999995, 'percent_change': 0.028349245687125622}, {'state': 'Alabama', 'pre_2022': 0.159842699, 'post_2022_avg': 0.16394438849999998, 'absolute_change': 0.0041016894999999776, 'percent_change': 0.025660787296891037}, {'state': 'West Virginia', 'pre_2022': 0.146808693, 'post_2022_avg': 0.150519131, 'absolute_change': 0.0037104380000000103, 'percent_change': 0.025273966576352603}]"
%_fem_age_40-49,percentage,51,0.0027926321568627426,0.0015891480000000124,0.018357228543866504,0.010584960894290299,39,12,0,"[{'state': 'West Virginia', 'pre_2022': 0.156442413, 'post_2022_avg': 0.1525058705, 'absolute_change': -0.003936542500000001, 'percent_change': -0.025162885335960658}, {'state': 'Idaho', 'pre_2022': 0.165461643, 'post_2022_avg': 0.16303722199999998, 'absolute_change': -0.00242442100000001, 'percent_change': -0.014652465405532146}, {'state': 'Indiana', 'pre_2022': 0.159812974, 'post_2022_avg': 0.158283793, 'absolute_change': -0.0015291809999999906, 'percent_change': -0.009568566066482128}, {'state': 'Michigan', 'pre_2022': 0.149624416, 'post_2022_avg': 0.14837430000000001, 'absolute_change': -0.0012501159999999956, 'percent_change': -0.008355026762477024}, {'state': 'Georgia', 'pre_2022': 0.169584206, 'post_2022_avg': 0.16830239, 'absolute_change': -0.0012818159999999912, 'percent_change': -0.007558581251369548}]","[{'state': 'Montana', 'pre_2022': 0.1449666, 'post_2022_avg': 0.1580750565, 'absolute_change': 0.013108456500000004, 'percent_change': 0.0904239769712472}, {'state': 'South Dakota', 'pre_2022': 0.144369966, 'post_2022_avg': 0.1546613855, 'absolute_change': 0.01029141950000001, 'percent_change': 0.07128504484097482}, {'state': 'District of Columbia', 'pre_2022': 0.147319836, 'post_2022_avg': 0.1560709965, 'absolute_change': 0.008751160499999994, 'percent_change': 0.059402458878653606}, {'state': 'Kansas', 'pre_2022': 0.150567703, 'post_2022_avg': 0.159327493, 'absolute_change': 0.00875978999999999, 'percent_change': 0.0581784129362722}, {'state': 'Vermont', 'pre_2022': 0.138384204, 'post_2022_avg': 0.1461466945, 'absolute_change': 0.007762490499999997, 'percent_change': 0.05609376125038083}]"
age_coef_variation,numeric,51,-0.002748435725490194,-0.0015011215000000355,-0.004119538522110529,-0.0031680571268137407,25,26,0,"[{'state': 'Louisiana', 'pre_2022': 0.477213375, 'post_2022_avg': 0.4268237585, 'absolute_change': -0.05038961650000001, 'percent_change': -0.10559137513696051}, {'state': 'Kansas', 'pre_2022': 0.52340335, 'post_2022_avg': 0.483195632, 'absolute_change': -0.04020771800000006, 'percent_change': -0.07681975669433537}, {'state': 'Alabama', 'pre_2022': 0.527954329, 'post_2022_avg': 0.488457517, 'absolute_change': -0.03949681200000005, 'percent_change': -0.07481103919502106}, {'state': 'New Mexico', 'pre_2022': 0.48806183, 'post_2022_avg': 0.45204240949999996, 'absolute_change': -0.03601942050000001, 'percent_change': -0.07380093727059134}, {'state': 'Nebraska', 'pre_2022': 0.526452066, 'post_2022_avg': 0.489103242, 'absolute_change': -0.03734882400000006, 'percent_change': -0.07094439629381197}]","[{'state': 'Hawaii', 'pre_2022': 0.485054101, 'post_2022_avg': 0.528992545, 'absolute_change': 0.04393844400000002, 'percent_change': 0.0905846253220319}, {'state': 'Idaho', 'pre_2022': 0.423724178, 'post_2022_avg': 0.453213059, 'absolute_change': 0.029488880999999967, 'percent_change': 0.06959452051848683}, {'state': 'Nevada', 'pre_2022': 0.390081517, 'post_2022_avg': 0.416452123, 'absolute_change': 0.02637060600000002, 'percent_change': 0.06760280826122818}, {'state': 'Arizona', 'pre_2022': 0.445166175, 'post_2022_avg': 0.4749499465, 'absolute_change': 0.0297837715, 'percent_change': 0.06690483952425182}, {'state': 'Oklahoma', 'pre_2022': 0.457719123, 'post_2022_avg': 0.487015237, 'absolute_change': 0.029296113999999984, 'percent_change': 0.06400456639868198}]"
all_labor_force_part,numeric,51,0.00811301339215685,0.00837971999999998,0.013136762269670003,0.012915230104986866,46,5,0,"[{'state': 'Wyoming', 'pre_2022': 0.652705027, 'post_2022_avg': 0.6422085289999999, 'absolute_change': -0.010496498000000076, 'percent_change': -0.01608153387180834}, {'state': 'New Hampshire', 'pre_2022': 0.66657419, 'post_2022_avg': 0.6642550615, 'absolute_change': -0.002319128499999934, 'percent_change': -0.0034791753638104923}, {'state': 'Idaho', 'pre_2022': 0.631253822, 'post_2022_avg': 0.62941118, 'absolute_change': -0.001842642000000061, 'percent_change': -0.002919019158033804}, {'state': 'Minnesota', 'pre_2022': 0.683807387, 'post_2022_avg': 0.6825798555, 'absolute_change': -0.0012275314999999898, 'percent_change': -0.0017951422042768745}, {'state': 'Rhode Island', 'pre_2022': 0.651477984, 'post_2022_avg': 0.650747462, 'absolute_change': -0.0007305220000000112, 'percent_change': -0.0011213302950234634}]","[{'state': 'Delaware', 'pre_2022': 0.60056253, 'post_2022_avg': 0.6241774154999999, 'absolute_change': 0.023614885499999905, 'percent_change': 0.039321276836901405}, {'state': 'West Virginia', 'pre_2022': 0.526301462, 'post_2022_avg': 0.5462487014999999, 'absolute_change': 0.01994723949999988, 'percent_change': 0.037900786792798}, {'state': 'New Mexico', 'pre_2022': 0.569285482, 'post_2022_avg': 0.586807564, 'absolute_change': 0.01752208200000005, 'percent_change': 0.030779077552517055}, {'state': 'Tennessee', 'pre_2022': 0.612426532, 'post_2022_avg': 0.6297446055, 'absolute_change': 0.01731807350000003, 'percent_change': 0.02827779757262383}, {'state': 'Mississippi', 'pre_2022': 0.566491133, 'post_2022_avg': 0.582424109, 'absolute_change': 0.015932975999999988, 'percent_change': 0.02812572884525624}]"
asian_adj_rate,rate,51,68.7895886782549,69.28220655000001,1.9193087721635849,0.18648457271619256,35,16,0,"[{'state': 'Mississippi', 'pre_2022': 697.1206116, 'post_2022_avg': 269.20131685, 'absolute_change': -427.91929474999995, 'percent_change': -0.6138382478289643}, {'state': 'North Dakota', 'pre_2022': 1766.727566, 'post_2022_avg': 1094.76218205, 'absolute_change': -671.9653839499999, 'percent_change': -0.3803446535174512}, {'state': 'Nevada', 'pre_2022': 1470.758495, 'post_2022_avg': 1030.6983736500001, 'absolute_change': -440.0601213499999, 'percent_change': -0.29920624143666763}, {'state': 'Connecticut', 'pre_2022': 147.8448861, 'post_2022_avg': 117.68632015, 'absolute_change': -30.158565949999996, 'percent_change': -0.2039878872076861}, {'state': 'Utah', 'pre_2022': 1274.579561, 'post_2022_avg': 1081.43390215, 'absolute_change': -193.14565885000002, 'percent_change': -0.15153676142308703}]","[{'state': 'Florida', 'pre_2022': 3.204019429, 'post_2022_avg': 156.63989995, 'absolute_change': 153.435880521, 'percent_change': 47.88856120291648}, {'state': 'New York', 'pre_2022': 20.93425485, 'post_2022_avg': 580.9340589, 'absolute_change': 559.99980405, 'percent_change': 26.75040540313285}, {'state': 'California', 'pre_2022': 30.40210125, 'post_2022_avg': 322.3850394, 'absolute_change': 291.98293815, 'percent_change': 9.604038081084937}, {'state': 'New Jersey', 'pre_2022': 56.88007001, 'post_2022_avg': 155.36852820000001, 'absolute_change': 98.48845819000002, 'percent_change': 1.7315108468165548}, {'state': 'Vermont', 'pre_2022': 170.8558121, 'post_2022_avg': 460.5202415, 'absolute_change': 289.6644294, 'percent_change': 1.6953735775196377}]"
asian_pop,population,51,0.0018618229509803925,0.002328318999999999,0.058926845069631015,0.0691734029010969,44,7,0,"[{'state': 'Arkansas', 'pre_2022': 0.038174933, 'post_2022_avg': 0.016415058, 'absolute_change': -0.021759875, 'percent_change': -0.570004274794667}, {'state': 'Montana', 'pre_2022': 0.008930779, 'post_2022_avg': 0.0078210815, 'absolute_change': -0.0011096974999999995, 'percent_change': -0.12425539810133018}, {'state': 'West Virginia', 'pre_2022': 0.007850994, 'post_2022_avg': 0.0069434019999999996, 'absolute_change': -0.0009075920000000005, 'percent_change': -0.11560217725296956}, {'state': 'Alaska', 'pre_2022': 0.063617739, 'post_2022_avg': 0.058853323, 'absolute_change': -0.004764416000000007, 'percent_change': -0.0748913129402478}, {'state': 'Kansas', 'pre_2022': 0.028578516, 'post_2022_avg': 0.0279977945, 'absolute_change': -0.0005807215000000025, 'percent_change': -0.02032021186824405}]","[{'state': 'Mississippi', 'pre_2022': 0.008289929, 'post_2022_avg': 0.0108193215, 'absolute_change': 0.0025293925, 'percent_change': 0.3051163043736563}, {'state': 'North Dakota', 'pre_2022': 0.014132561, 'post_2022_avg': 0.016944701, 'absolute_change': 0.0028121399999999994, 'percent_change': 0.1989830434837677}, {'state': 'New Mexico', 'pre_2022': 0.014981022, 'post_2022_avg': 0.017959082, 'absolute_change': 0.002978060000000001, 'percent_change': 0.1987888409749349}, {'state': 'Kentucky', 'pre_2022': 0.013979927, 'post_2022_avg': 0.0163656005, 'absolute_change': 0.002385673500000001, 'percent_change': 0.17064992542521867}, {'state': 'Nebraska', 'pre_2022': 0.022527973, 'post_2022_avg': 0.0258684145, 'absolute_change': 0.0033404414999999993, 'percent_change': 0.14827971873013163}]"
asian_victims,count,51,303.65686274509807,35.5,2.194303070483207,0.211484593837535,41,10,0,"[{'state': 'Mississippi', 'pre_2022': 68.0, 'post_2022_avg': 34.0, 'absolute_change': -34.0, 'percent_change': -0.5}, {'state': 'Arkansas', 'pre_2022': 128.0, 'post_2022_avg': 86.0, 'absolute_change': -42.0, 'percent_change': -0.328125}, {'state': 'North Dakota', 'pre_2022': 71.0, 'post_2022_avg': 54.0, 'absolute_change': -17.0, 'percent_change': -0.23943661971830985}, {'state': 'Nevada', 'pre_2022': 1503.0, 'post_2022_avg': 1192.0, 'absolute_change': -311.0, 'percent_change': -0.20691949434464404}, {'state': 'Montana', 'pre_2022': 47.0, 'post_2022_avg': 37.5, 'absolute_change': -9.5, 'percent_change': -0.20212765957446807}]","[{'state': 'Florida', 'pre_2022': 8.0, 'post_2022_avg': 446.5, 'absolute_change': 438.5, 'percent_change': 54.8125}, {'state': 'New York', 'pre_2022': 147.0, 'post_2022_avg': 4370.0, 'absolute_change': 4223.0, 'percent_change': 28.727891156462587}, {'state': 'California', 'pre_2022': 698.0, 'post_2022_avg': 7855.5, 'absolute_change': 7157.5, 'percent_change': 10.254297994269342}, {'state': 'New Jersey', 'pre_2022': 210.0, 'post_2022_avg': 610.5, 'absolute_change': 400.5, 'percent_change': 1.9071428571428573}, {'state': 'Vermont', 'pre_2022': 8.0, 'post_2022_avg': 23.0, 'absolute_change': 15.0, 'percent_change': 1.875}]"
avg_years_schooling,count,51,0.0735601387254902,0.07860325500000087,0.00539178383027312,0.00569084333396953,47,4,0,"[{'state': 'West Virginia', 'pre_2022': 13.13140736, 'post_2022_avg': 13.117262440000001, 'absolute_change': -0.014144919999999672, 'percent_change': -0.0010771823318105997}, {'state': 'Missouri', 'pre_2022': 13.58330246, 'post_2022_avg': 13.576295465000001, 'absolute_change': -0.00700699499999935, 'percent_change': -0.0005158535651130122}, {'state': 'New Jersey', 'pre_2022': 13.94634954, 'post_2022_avg': 13.940547715000001, 'absolute_change': -0.005801824999998928, 'percent_change': -0.00041601029598164856}, {'state': 'Montana', 'pre_2022': 13.88888411, 'post_2022_avg': 13.888181535000001, 'absolute_change': -0.0007025749999982622, 'percent_change': -5.0585417405305304e-05}, {'state': 'Vermont', 'pre_2022': 14.33344572, 'post_2022_avg': 14.339900725, 'absolute_change': 0.006455004999999403, 'percent_change': 0.00045034565491760924}]","[{'state': 'Mississippi', 'pre_2022': 13.07450282, 'post_2022_avg': 13.221408454999999, 'absolute_change': 0.14690563499999953, 'percent_change': 0.011236039872604468}, {'state': 'Colorado', 'pre_2022': 14.15364764, 'post_2022_avg': 14.30983627, 'absolute_change': 0.15618862999999905, 'percent_change': 0.011035221023772713}, {'state': 'Alabama', 'pre_2022': 13.24817426, 'post_2022_avg': 13.38964312, 'absolute_change': 0.1414688599999998, 'percent_change': 0.010678366484590595}, {'state': 'North Dakota', 'pre_2022': 13.6831426, 'post_2022_avg': 13.82222546, 'absolute_change': 0.13908286000000025, 'percent_change': 0.010164540710114375}, {'state': 'Texas', 'pre_2022': 13.15444651, 'post_2022_avg': 13.286609474999999, 'absolute_change': 0.13216296499999913, 'percent_change': 0.010047018314265747}]"
black_adj_rate,rate,51,472.83662026515697,69.74511949999987,10.420923517261212,0.02488710017305562,30,21,0,"[{'state': 'North Dakota', 'pre_2022': 13062.12318, 'post_2022_avg': 8743.0621015, 'absolute_change': -4319.061078500001, 'percent_change': -0.3306553627600992}, {'state': 'Nevada', 'pre_2022': 11347.84955, 'post_2022_avg': 9150.1824625, 'absolute_change': -2197.6670875, 'percent_change': -0.19366374904926367}, {'state': 'Mississippi', 'pre_2022': 1684.035303, 'post_2022_avg': 1377.0817185, 'absolute_change': -306.95358450000003, 'percent_change': -0.18227265423306865}, {'state': 'Texas', 'pre_2022': 5498.947888, 'post_2022_avg': 4813.2842545, 'absolute_change': -685.6636334999994, 'percent_change': -0.12468996751110863}, {'state': 'Iowa', 'pre_2022': 7298.824657, 'post_2022_avg': 6415.9036335, 'absolute_change': -882.9210235, 'percent_change': -0.12096756190097362}]","[{'state': 'Florida', 'pre_2022': 3.729967027, 'post_2022_avg': 1888.8059495, 'absolute_change': 1885.075982473, 'percent_change': 505.3867685230345}, {'state': 'California', 'pre_2022': 269.9817681, 'post_2022_avg': 2908.788839, 'absolute_change': 2638.8070709, 'percent_change': 9.774019517949812}, {'state': 'New York', 'pre_2022': 506.3180807, 'post_2022_avg': 3028.6819910000004, 'absolute_change': 2522.3639103000005, 'percent_change': 4.981777278845654}, {'state': 'Nebraska', 'pre_2022': 2521.673849, 'post_2022_avg': 7404.3262285, 'absolute_change': 4882.6523795, 'percent_change': 1.936274344692227}, {'state': 'Maryland', 'pre_2022': 1395.728422, 'post_2022_avg': 3756.304607, 'absolute_change': 2360.576185, 'percent_change': 1.6912861755852386}]"
black_pop,population,51,-0.0007776175196078415,-0.000186684999999992,0.003968812619157216,-0.0018388414112187302,24,27,0,"[{'state': 'Wyoming', 'pre_2022': 0.009834089, 'post_2022_avg': 0.0069306715, 'absolute_change': -0.0029034175000000008, 'percent_change': -0.295240108158468}, {'state': 'Montana', 'pre_2022': 0.005072125, 'post_2022_avg': 0.0036098835, 'absolute_change': -0.0014622415000000001, 'percent_change': -0.28828972077778053}, {'state': 'Hawaii', 'pre_2022': 0.01813669, 'post_2022_avg': 0.0159712165, 'absolute_change': -0.002165473500000001, 'percent_change': -0.1193973927987963}, {'state': 'Alaska', 'pre_2022': 0.028778186, 'post_2022_avg': 0.025850068, 'absolute_change': -0.0029281180000000004, 'percent_change': -0.10174783080490203}, {'state': 'District of Columbia', 'pre_2022': 0.426751735, 'post_2022_avg': 0.4043278765, 'absolute_change': -0.022423858500000005, 'percent_change': -0.05254544190663924}]","[{'state': 'Maine', 'pre_2022': 0.014918597, 'post_2022_avg': 0.018629978999999998, 'absolute_change': 0.0037113819999999974, 'percent_change': 0.24877553834318317}, {'state': 'Iowa', 'pre_2022': 0.03514163, 'post_2022_avg': 0.039975112, 'absolute_change': 0.004833482, 'percent_change': 0.1375429085105045}, {'state': 'New Mexico', 'pre_2022': 0.016609661, 'post_2022_avg': 0.018744674500000003, 'absolute_change': 0.0021350135000000013, 'percent_change': 0.12854046208408476}, {'state': 'North Dakota', 'pre_2022': 0.028834193, 'post_2022_avg': 0.032378545, 'absolute_change': 0.0035443520000000006, 'percent_change': 0.12292183797202164}, {'state': 'West Virginia', 'pre_2022': 0.028214334, 'post_2022_avg': 0.031482321, 'absolute_change': 0.003267987, 'percent_change': 0.1158271891160004}]"
